country,city,base_cost_of_living,one_bedroom_rent_centre,one_bedroom_rent_outside_centre,three_bedroom_rent_centre,three_bedroom_rent_outside_centre,price_per_squared_meter_centre,price_per_squared_meter_outside_centre,avg_net_salary,entries
AT,Salzburg,1124.4,1053.08,875.0,1650.0,1394.44,6377.78,5301.38,2534.27,528
AT,Innsbruck,1034.5,1100.0,946.11,1866.67,1491.67,10500.0,7852.86,2264.7,264
HU,Budapest,676.1,584.99,453.8,1029.71,757.96,3549.32,2441.49,1080.41,4756
HU,Debrecen,587.0,421.72,334.6,605.48,504.57,2266.27,1817.29,873.31,507
HU,Pecs,661.8,344.93,249.23,701.26,410.49,2155.1,1359.76,709.81,283
IE,Dublin,1093.0,2054.13,1784.21,3410.2,2830.37,7218.99,5152.26,3268.3,3334
IE,Cork,1033.9,1510.94,1313.33,2730.77,2133.33,4172.9,3522.14,3148.96,1012
IE,Limerick,849.0,1583.33,1375.0,2280.0,1840.0,2991.67,2583.75,2412.59,247
IE,Galway,901.7,1536.36,1325.0,2587.5,2022.22,3947.33,3233.33,2871.15,418
BE,Brussels,1005.3,1070.0,899.32,1886.96,1595.38,3975.0,3506.25,2718.48,1143
BE,Antwerp,991.5,900.0,734.62,1455.0,1122.73,3977.5,3214.29,2347.29,556
BE,Liege,1013.7,646.88,575.0,1002.86,850.0,2648.75,2175.0,2366.14,225
NL,Amsterdam,1040.3,1883.92,1550.0,3205.43,2357.69,8672.62,5980.74,3592.69,2796
NL,Rotterdam,906.3,1402.04,1112.39,1817.37,1625.53,4510.83,3075.0,3554.45,1327
NL,The-Hague-Den-Haag-Netherlands,877.1,1262.42,988.81,2039.13,1615.22,4448.22,3297.89,3517.04,1586
NL,Utrecht,948.3,1293.75,1040.32,2042.5,1561.88,4951.67,3570.67,3291.54,921
NL,Eindhoven,949.4,1407.17,1088.73,1979.17,1661.54,4808.75,3538.71,3458.61,1016
LU,Luxembourg,936.6,1758.7,1360.83,2703.7,2185.96,10532.0,7441.67,4840.47,1136
RO,Bucharest,647.4,520.67,362.44,877.42,624.1,2466.78,1526.76,1044.16,4729
RO,Timisoara,607.8,396.46,306.9,622.55,447.64,2080.86,1444.5,880.81,735
RO,Iasi,585.6,384.24,279.3,596.75,448.02,1840.8,1333.31,765.46,1323
RO,Constanta,664.0,475.06,364.85,789.48,601.45,1786.45,1311.51,631.92,508
CZ,Prague,808.6,977.97,717.39,1820.56,1276.5,6819.16,4790.94,1688.02,5103
CZ,Brno,691.4,696.86,596.87,1069.09,861.53,4575.96,3573.06,1529.11,1492
CZ,Ostrava,811.3,467.69,375.96,1028.06,841.74,2095.98,1693.85,1304.85,767
CZ,Plzen,735.7,554.51,476.88,701.53,685.47,3937.55,2935.32,1530.56,1315
SK,Bratislava,805.3,715.33,556.0,1279.55,867.04,5165.38,3604.41,1395.63,1677
